ticker,mae,mse
AAPL,0.014426102763915562,0.0003426993376205639
AMZN,0.012965114718674519,0.0002858896879250826
AXP,0.015969719470372807,0.0003948467871560696
BA,0.017696611717654475,0.00048330878251495057
BAC,0.015085179887821175,0.0003815529478617853
C,0.021439402290885704,0.0007229712528627364
F,0.02003183913754155,0.0007795967964710363
FB,0.021824805440283212,0.0007752571943815044
GE,0.00665434501104015,8.506701201643294e-05
GOOG,0.021010694637022473,0.0009552940461058829
GS,0.020046407282152238,0.000625033908920723
JPM,0.01438212558582418,0.00033434932259523043
MS,0.015050254646864426,0.0003616024750790194
MSFT,0.013316172970310172,0.0002835122352209252
WFC,0.025804764092524014,0.0010332794267077677
