date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-02-02T00:00:00.000Z,151.7,157.0,150.155,157.0,6313610,140.8182729272,145.7380939325,139.3840986907,145.7380939325,6313610,0.0,1.0
2016-02-03T00:00:00.000Z,152.68,153.84,147.01,152.5,5893224,141.7279756791,142.8047666916,136.4646954715,141.5608874185,5893224,0.0,1.0
2016-02-04T00:00:00.000Z,156.49,157.95,152.01,152.3,4572851,145.2646771943,146.619948641,141.1060360426,141.3752337957,4572851,0.0,1.0
2016-02-05T00:00:00.000Z,156.47,159.7,155.69,157.57,4595630,145.246111832,148.2444178409,144.5220627029,146.2672067576,4595630,0.0,1.0
2016-02-08T00:00:00.000Z,149.25,153.83,145.25,153.83,8678732,138.5440160473,142.7954840105,134.8309435904,142.7954840105,8678732,0.0,1.0
2016-02-09T00:00:00.000Z,148.25,149.95,145.1,145.52,6917685,137.6157479331,139.1938037273,134.6917033733,135.0815759813,6917685,0.0,1.0
2016-02-10T00:00:00.000Z,147.23,153.38,147.21,150.0,7608851,136.6689144566,142.3777633591,136.6503490943,139.240217133,7608851,0.0,1.0
2016-02-11T00:00:00.000Z,140.69,144.41,139.05,143.41,10251331,130.5980409896,134.0511983745,129.0756812823,133.1229302603,10251331,0.0,1.0
2016-02-12T00:00:00.000Z,146.13,146.51,143.7,143.75,9008987,135.647819531,136.0005614144,133.3921280134,133.4385414191,9008987,0.0,1.0
2016-02-16T00:00:00.000Z,149.02,150.48,147.45,149.6,10197418,138.3305143811,139.6857858278,136.8731334417,138.8689098873,10197418,0.0,1.0
2016-02-17T00:00:00.000Z,150.94,151.87,150.31,150.8,5578830,140.1127891604,140.9760785066,139.5279802484,139.9828316244,5578830,0.0,1.0
2016-02-18T00:00:00.000Z,147.73,152.0,147.37,151.25,5895488,137.1330485137,141.0967533614,136.7988719926,140.4005522758,5895488,0.0,1.0
2016-02-19T00:00:00.000Z,146.91,147.73,145.43,147.0,5256714,136.3718686601,137.1330485137,134.998031851,136.4554127903,5256714,0.0,1.0
2016-02-22T00:00:00.000Z,148.79,149.99,148.23,149.2,4287730,138.1170127148,139.2309344519,137.5971825708,138.4976026416,4287730,0.0,1.0
2016-02-23T00:00:00.000Z,144.91,148.05,144.05,148.0,4249340,134.5153324316,137.4300943103,133.7170218534,137.3836809046,4249340,0.0,1.0
2016-02-24T00:00:00.000Z,145.56,145.64,140.26,143.08,5713214,135.1187067059,135.192968155,130.1988857005,132.8166017826,5713214,0.0,1.0
2016-02-25T00:00:00.000Z,148.25,149.065,145.23,146.0,4298865,137.6157479331,138.3722864462,134.8123782282,135.5271446761,4298865,0.0,1.0
2016-02-26T00:00:00.000Z,150.25,151.97,149.0101,149.72,5924412,139.4722841615,141.068905318,138.3213245267,138.980302061,5924412,0.0,1.0
2016-02-29T00:00:00.000Z,149.53,150.29,148.32,149.75,5505698,139.4073053936,140.1158558657,138.2792184576,139.6124121092,5505698,0.65,1.0
2016-03-01T00:00:00.000Z,154.65,154.77,150.68,150.95,6489650,144.180698048,144.2925744383,140.4794541343,140.7311760126,6489650,0.0,1.0
2016-03-02T00:00:00.000Z,154.2,155.41,153.45,154.75,5047509,143.7611615842,144.8892485201,143.0619341446,144.2739283732,5047509,0.0,1.0
2016-03-03T00:00:00.000Z,155.33,155.66,153.36,154.0,3615606,144.8146642599,145.1223243333,142.9780268518,143.5747009336,3615606,0.0,1.0
2016-03-04T00:00:00.000Z,156.84,158.85,155.29,156.37,5256673,146.2224421716,148.0963717098,144.7773721298,145.7842596428,5256673,0.0,1.0
2016-03-07T00:00:00.000Z,155.35,156.37,154.41,156.0,2771943,144.8333103249,145.7842596428,143.9569452673,145.4393074393,2771943,0.0,1.0
2016-03-08T00:00:00.000Z,151.6,154.23,151.5,154.0,3818813,141.3371731269,143.7891306818,141.2439428016,143.5747009336,3818813,0.0,1.0
2016-03-09T00:00:00.000Z,149.91,152.5,149.18,152.11,3249855,139.7615806296,142.1762460544,139.0809992551,141.8126477858,3249855,0.0,1.0
2016-03-10T00:00:00.000Z,151.02,153.6,148.84,150.41,4631750,140.7964372402,143.2017796325,138.7640161491,140.227732256,4631750,0.0,1.0
2016-03-11T00:00:00.000Z,153.94,154.16,152.37,153.28,4058365,143.5187627385,143.7238694541,142.0550466315,142.9034425916,4058365,0.0,1.0
2016-03-14T00:00:00.000Z,153.49,154.4475,152.13,153.66,3317896,143.0992262747,143.9919066393,141.8312938509,143.2577178277,3317896,0.0,1.0
2016-03-15T00:00:00.000Z,152.03,152.74,150.9007,152.65,3731425,141.7380635256,142.3999988351,140.6852134622,142.3160915423,3731425,0.0,1.0
2016-03-16T00:00:00.000Z,150.54,152.85,149.71,150.92,4310259,140.3489316789,142.5025521929,139.5751199791,140.703206915,4310259,0.0,1.0
2016-03-17T00:00:00.000Z,152.91,153.976,148.75,150.39,4431729,142.5584903881,143.5523256556,138.6801088564,140.209086191,4431729,0.0,1.0
